temple_name,photo_1_url,photo_2_url,photo_3_url,photo_4_url
"ISKCON Temple Delhi","https://upload.wikimedia.org/wikipedia/commons/d/d2/Iskcon_Delhi_Temple.jpg","https://upload.wikimedia.org/wikipedia/commons/3/39/ISKCON_temple%2C_Delhi.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e5/ISKCON_temple_delhi_garbha_griha.jpg","https://upload.wikimedia.org/wikipedia/commons/8/89/Kartik_Purnima_2025_celebration_at_ISKCON_Temple_Delhi_26.jpg"
"Chhatarpur Temple","https://upload.wikimedia.org/wikipedia/commons/e/e9/Chattarpur_Temple.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d0/Chhatarpur_Temple%2C_Delhi%2C_India.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d6/Nandi_at_Shiva_temple%2C_Chhatarpur_temple%2C_Delhi.jpg","https://upload.wikimedia.org/wikipedia/commons/3/3d/The_main_courtyard_of_Chhatarpur_Temple%2C_Delhi.jpg"
"Akshardham Temple Delhi","https://upload.wikimedia.org/wikipedia/commons/b/bd/Akshardham_Delhi.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a4/Akshardham_Lotus.jpg","https://upload.wikimedia.org/wikipedia/commons/8/8c/Akshardham_fountain.jpg","https://upload.wikimedia.org/wikipedia/commons/1/13/Akshardham_Temple_Delhi_2.jpg"
"Shree Shantadurga Temple Goa","https://upload.wikimedia.org/wikipedia/commons/3/3c/Shree_Shantadurga_Temple%2C_Fatorpa%2C_Goa.jpg","https://upload.wikimedia.org/wikipedia/commons/4/4b/Shree_Shantadurga_Temple%2C_Donshiwado%2C_Ponda%2C_Goa_vrvbgoa2k24_%2890%29.jpg","https://upload.wikimedia.org/wikipedia/commons/2/22/Shree_Shantadurga_Temple%2C_Donshiwado%2C_Ponda%2C_Goa_vrvbgoa2k24_%2889%29.jpg","https://upload.wikimedia.org/wikipedia/commons/d/de/Shree_Shantadurga_Temple%2C_Donshiwado%2C_Ponda%2C_Goa_vrvbgoa2k24_%2858%29.jpg"
"Dwarkadhish Temple Gujarat","https://upload.wikimedia.org/wikipedia/commons/a/a2/Dwarkadheesh_temple.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fa/Dwarkadhish_Temple%2C_Dwarka%2C_Gujarat.JPG","https://upload.wikimedia.org/wikipedia/commons/b/bd/DWARKADHISH_TEMPLE.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7f/G21D01_Dwarkadhish_Temple_from_Sudama_Setu_3D.jpg"
"Nageshwar Temple Gujarat","https://upload.wikimedia.org/wikipedia/commons/9/9f/Nageshwar_Temple_Gujarat.jpg","https://upload.wikimedia.org/wikipedia/commons/5/54/Nageshwar_Mahadev%2C_Shiva_Temple%2C_Gujarat_-_India_%283409088775%29.jpg","https://upload.wikimedia.org/wikipedia/commons/7/79/Nageshwar_Mahadev%2C_Shiva_Temple%2C_Gujarat_-_India_%283409086691%29.jpg","https://upload.wikimedia.org/wikipedia/commons/8/86/Nageshwar_Mahadev%2C_Shiva_Temple%2C_Gujarat_-_India_%283409089635%29.jpg"
"Palitana Jain Tirth Temple","https://upload.wikimedia.org/wikipedia/commons/d/da/Shatrunjay_Tirth.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2e/View_Of_Palitana.jpg","https://upload.wikimedia.org/wikipedia/commons/6/66/Historic_heritage_sites_of_Gujarat_with_GPS_coordinates.jpg",null
"Somnath Temple","https://upload.wikimedia.org/wikipedia/commons/6/6b/Dev_Somnath_Temple%2C_Dungarpur._by_Hritik_Sharma.jpg","https://upload.wikimedia.org/wikipedia/commons/6/62/Dev_Somnath_Temple-2%2C_Dungarpur_by_hritik_sharma.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a9/Sujay_Chatterjee_at_Somnath_Temple%2C_2024.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f2/Shree_Somnath_Temple.jpg"
"Swaminarayan Akshardham Mandir Gandhinagar","https://upload.wikimedia.org/wikipedia/commons/7/77/Akshardham_Gandhinagar_Gujarat.jpg","https://upload.wikimedia.org/wikipedia/commons/6/6a/BAPS_Akshardham_Gandhinagar.jpg",null,null
"Ambaji Temple Gujarat","https://upload.wikimedia.org/wikipedia/commons/4/4d/0081323_Arasuri_Ambaji_mandir%2C_Shakti_Peeth%2C_north_Gujarat_076.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fa/Ambaji_Temple_at_Night.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b2/0081323_Arasuri_Ambaji_mandir%2C_Shakti_Peeth%2C_north_Gujarat_044.jpg","https://upload.wikimedia.org/wikipedia/commons/7/76/0081323_Arasuri_Ambaji_mandir%2C_Shakti_Peeth%2C_north_Gujarat_037.jpg"
